entity_id,state,last_changed
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-25T17:00:00.000Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-25T17:02:52.499Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-25T17:03:11.960Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-25T17:03:14.599Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-25T17:03:29.600Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-25T17:24:47.311Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-25T17:25:02.313Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-25T17:27:11.287Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-25T17:27:26.288Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-25T17:28:52.274Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-25T17:29:07.275Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-25T17:29:08.989Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-25T17:29:23.991Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-25T17:32:43.351Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-25T17:33:09.039Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-25T17:33:47.106Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-25T17:34:12.992Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-25T17:39:16.347Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-25T17:39:36.853Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-26T05:46:40.266Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-26T05:47:03.943Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-26T06:57:55.530Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-26T06:58:10.531Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-26T06:58:14.498Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-26T06:58:29.500Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-26T07:42:26.260Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-26T07:42:46.606Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-26T07:44:50.208Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-26T07:45:05.210Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-26T07:46:34.367Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-26T07:46:53.348Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-26T08:14:04.932Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-26T08:14:24.476Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-26T08:23:47.232Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-26T08:24:02.234Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-26T08:24:36.943Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-26T08:24:51.944Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-26T08:34:57.275Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-26T08:35:12.278Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-26T08:35:16.645Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-26T08:35:31.648Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-26T09:10:12.916Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-26T09:10:31.693Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-26T09:11:17.926Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-26T09:11:51.127Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-26T10:14:26.576Z
